2089,SID,PARTICIPANTS,electrons,,,,,,,,
2089,LABELED:false,PROMPT:How does does a battery produce electricity?,-=====,,,,,,,,
2089,state1,,,,,,,,,,
2089,event1,Chemicals react to metals inside the battery.,,,,,,,,,
2089,state2,,,,,,,,,,
2089,event2,Excess electrons build up on the negative electrode.,,,,,,,,,
2089,state3,,,,,,,,,,
2089,event3,A shortage of electrons of the positive electrode.,,,,,,,,,
2089,state4,,,,,,,,,,
2089,event4,Excess electrons flow out of the bttery via the negative terminal.,,,,,,,,,
2089,state5,,,,,,,,,,
2089,event5,Electrons flow through the circuit.,,,,,,,,,
2089,state6,,,,,,,,,,
2089,event6,Electrons flow back into the battery via the positive terminal.,,,,,,,,,
2089,state7,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2092,SID,PARTICIPANTS,electrical current,charge,,,,,,,
2092,LABELED:false,PROMPT:How does does a battery produce electricity?,-=====,-=====,,,,,,,
2092,state1,,,,,,,,,,
2092,event1,A battery is a chemical.,,,,,,,,,
2092,state2,,,,,,,,,,
2092,event2,The chemical medium allows for the flow of charge between the anode and cathode.,,,,,,,,,
2092,state3,,,,,,,,,,
2092,event3,The device is connected to both ends.,,,,,,,,,
2092,state4,,,,,,,,,,
2092,event4,Chemical reactions occur on the electrodes.,,,,,,,,,
2092,state5,,,,,,,,,,
2092,event5,This creates a flow of electrical current to the device.,,,,,,,,,
2092,state6,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2093,SID,PARTICIPANTS,amino acids,ribosome sub-units,chain,rna molecule,mrna,,,,
2093,LABELED:false,PROMPT:How are proteins synthesized in a cell?,-=====,-=====,-=====,-=====,-=====,,,,
2093,state1,,,,,,,,,,
2093,event1,Information from the DNA is copied to a RNA molecule.,,,,,,,,,
2093,state2,,,,,,,,,,
2093,event2,The RNA molecule is sent to cytoplasm.,,,,,,,,,
2093,state3,,,,,,,,,,
2093,event3,This i the messenger RNA or mRNA and it goes to a ribosome.,,,,,,,,,
2093,state4,,,,,,,,,,
2093,event4,Transfer RNA or tRNA bring amino acids to the ribosome.,,,,,,,,,
2093,state5,,,,,,,,,,
2093,event5,Amino acids bind together to form a chain.,,,,,,,,,
2093,state6,,,,,,,,,,
2093,event6,Ribosome sub-units separate from each other.,,,,,,,,,
2093,state7,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2095,SID,PARTICIPANTS,proteins,mrna,,,,,,,
2095,LABELED:false,PROMPT:How are proteins synthesized in a cell?,-=====,-=====,,,,,,,
2095,state1,,,,,,,,,,
2095,event1,Transcription takes the information.,,,,,,,,,
2095,state2,,,,,,,,,,
2095,event2,DNA is encoded into mRNA.,,,,,,,,,
2095,state3,,,,,,,,,,
2095,event3,MRNA leaves the cell nucleus.,,,,,,,,,
2095,state4,,,,,,,,,,
2095,event4,MRNA enters the cytoplasm.,,,,,,,,,
